nama,latitude,longitude,altitude
Bratan,-8.28,115.13,2276
Batur,-8.242,115.375,1717
Agung,-8.342,115.508,3142
Rinjani,-8.42,116.47,3726
Tambora,-8.25,118,3726
SangeangApi,-8.2,119.07,1949
WaiSano,-8.72,120.02,903
PocoLeok,-8.68,120.48,1675
Ranakah,-8.62,120.52,2100
Inierie,-8.875,120.95,2245
Inielika,-8.73,120.98,1559
Ebulobo,-8.82,121.18,2124
Iya,-8.897,121.645,637
Sukaria,-8.792,121.77,1500
NdeteNapu,-8.72,121.78,750
Kelimutu,-8.77,121.82,1639
Paluweh,-8.32,121.708,875
Egon,-8.67,122.45,1703
Ilimuda,-8.478,122.671,1100
Lewotobi,-8.542,122.775,1703
Leroboleng,-8.358,122.842,1117
RiangKotang,-8.3,122.892,200
Iliboleng,-8.342,123.258,1659
Lewotolo,-8.272,123.505,1423
Ililabalekan,-8.55,123.38,1018
Iliwerung,-8.53,123.57,1018
BatuTara,-7.792,123.579,748
Sirung,-8.508,124.13,862
Yersey,-7.53,123.95,-3800